,compound,text_len
1394,0.0,109
1395,0.0,102
1396,0.0,100
1397,0.0,104
1398,0.5267,97
1399,0.0,108
1400,0.0,108
1401,0.5267,97
1402,0.0,54
1403,0.0,102
1404,0.0,100
1405,0.0,85
1406,0.0,104
1407,0.8316,92
1408,0.0,97
1409,0.0,97
1410,0.8316,92
1411,0.1139,90
1412,0.0,83
1413,0.0,102
1414,0.0,100
1415,0.0,104
1416,0.0,99
1417,0.0,102
1418,0.0,98
1419,0.0,104
1420,0.0,100
1421,0.34,82
1422,0.0,99
1423,0.0,102
1424,0.0,52
1425,0.0,97
1426,0.0,93
1427,0.0,94
1428,0.0,97
1429,0.0,105
1430,0.0,102
1431,0.0,100
1432,0.0,85
1433,0.2023,87
1434,0.2023,87
1435,0.6705,116
1436,0.6705,116
1437,0.2023,87
1438,0.2023,87
1439,0.0,102
1440,0.0,97
1441,0.3597,115
1442,0.0,102
1443,0.0,97
1444,0.0,105
1445,0.0,85
1446,-0.2732,85
1447,0.0,78
1448,0.1139,90
1449,0.0,102
1450,-0.2732,86
1451,0.0,98
1452,0.0,108
1453,0.7579,111
1454,0.7579,111
1455,0.8316,92
1456,0.0,91
1457,0.296,109
1458,0.6705,116
1459,0.0258,103
1460,0.0,56
1461,0.0,102
1462,-0.2263,111
1463,0.0,77
1464,0.0,65
1465,0.0,97
1466,0.0,85
1467,0.6705,116
1468,0.0,98
1469,0.0,89
1470,0.0,102
1471,0.0,97
1472,0.0,118
1473,0.0,111
1474,0.0,78
1475,0.6705,116
1476,0.6705,116
1477,0.0,53
1478,0.0,81
1479,0.7579,111
1480,0.0,102
1481,0.0,100
1482,0.0,85
1483,0.0,81
1484,0.0,78
1485,0.296,41
1486,0.0,81
1487,0.0,94
1488,0.0,99
1489,0.0,97
1490,0.0,102
1491,0.0,97
1492,0.7579,111
1493,0.7579,111
1494,0.7579,111
1495,0.7579,106
1496,0.0,81
1497,0.6705,116
1498,0.0,104
1499,0.0,102
1500,0.0,97
1501,0.6705,116
1502,0.6705,116
1503,0.0,78
1504,0.128,95
1505,0.6705,116
1506,0.0258,112
1507,0.0258,112
1508,0.0258,112
1509,0.0258,112
1510,0.0258,110
1511,0.0,100
1512,0.296,38
1513,0.0,102
1514,0.0,100
1515,0.6705,116
1516,0.0,95
1517,0.0,98
1518,0.0,94
1519,0.0,94
1520,0.0,21
1521,0.0,100
1522,0.5267,92
1523,0.0,100
1524,0.0,66
1525,0.0,122
1526,0.0,95
1527,0.6705,116
1528,0.0,95
1529,0.0,101
1530,0.0,92
1531,0.0,95
1532,0.34,82
1533,0.1139,90
1534,0.0,100
1535,0.0,95
1536,0.0,97
1537,0.0,91
1538,0.0,85
1539,0.6705,110
1540,0.0,96
1541,0.0,100
1542,0.0,102
1543,0.0,87
1544,0.0,102
1545,0.0,97
1546,0.0,85
1547,0.0,91
1548,0.0,100
1549,0.1139,90
1550,0.0,99
1551,0.0,94
1552,0.0,100
1553,0.0,102
1554,0.0,97
1555,0.8316,92
1556,0.0,94
1557,0.0,100
1558,0.128,95
1559,0.0,81
1560,-0.2263,113
1561,0.0,102
1562,0.0,52
1563,0.0,100
1564,-0.2263,111
1565,0.0,77
1566,0.0,85
1567,0.0,81
1568,0.0,84
1569,0.0,102
